ID,Type,Description,DateReported,Status,CitizenID
99,Sewer,reinvent front-end applications,1999-03-07 18:42:48,Not Started,426
100,Powerline,exploit impactful content,2009-02-28 03:01:13,Completed,781
101,Pipeline,benchmark best-of-breed interfaces,2003-04-21 01:39:02,In Progress,895
102,Electricity,facilitate sticky content,2020-08-19 06:34:29,Completed,164
103,Road Construction,visualize robust relationships,2021-01-01 14:56:27,Completed,837
104,Road Construction,expedite virtual metrics,2020-07-05 16:11:26,Completed,579
105,Road Construction,cultivate transparent markets,2023-07-08 19:33:34,Completed,60
106,Powerline,drive killer e-tailers,2004-09-29 20:13:24,Completed,286
107,Pipeline,implement value-added experiences,2011-05-17 14:33:43,Completed,346
108,Sewer,strategize front-end channels,2007-05-24 03:14:27,Not Started,356
109,Electricity,streamline distributed e-services,2011-07-04 06:52:52,Not Started,772
110,Road Construction,iterate world-class content,1998-09-06 02:15:24,Not Started,108
111,Road Construction,benchmark integrated partnerships,2024-04-11 05:37:07,Not Started,156
112,Electricity,empower next-generation functionalities,2011-10-10 03:38:49,In Progress,938
113,Electricity,expedite end-to-end schemas,2018-06-04 06:48:39,Completed,535
114,Powerline,matrix robust bandwidth,2000-05-29 13:13:14,In Progress,176
115,Powerline,incentivize mission-critical schemas,2020-06-13 22:46:01,Not Started,771
116,Pipeline,redefine next-generation supply-chains,2018-04-01 05:08:00,In Progress,903
117,Pipeline,matrix end-to-end channels,2006-06-01 22:51:37,In Progress,854
118,Road Construction,revolutionize scalable solutions,2015-11-25 00:39:27,Not Started,120
119,Electricity,embrace front-end portals,2009-04-29 04:18:02,Completed,971
120,Sewer,brand back-end niches,2005-10-25 06:37:27,Not Started,684
121,Traffic Light,seize robust niches,2006-04-17 20:51:48,In Progress,126
122,Electricity,utilize best-of-breed ROI,2021-11-07 01:24:18,In Progress,63
123,Sewer,redefine leading-edge portals,2016-04-30 08:16:49,Completed,99
124,Road Construction,incentivize killer portals,2011-05-31 11:28:09,Not Started,255
125,Road Construction,synthesize best-of-breed networks,2003-08-09 16:19:30,Completed,631
126,Electricity,whiteboard viral experiences,2022-01-13 00:41:32,Completed,521
127,Pipeline,optimize front-end e-markets,2013-12-09 12:44:14,Completed,461
128,Road Construction,maximize front-end methodologies,2022-07-28 15:37:00,In Progress,294
129,Sewer,implement magnetic web services,2019-01-10 06:05:18,Completed,844
130,Traffic Light,generate 24/365 metrics,2018-08-17 14:54:35,Completed,784
131,Pipeline,unleash strategic deliverables,2019-02-02 12:02:22,Not Started,165
132,Traffic Light,engage bricks-and-clicks e-services,2023-07-23 13:06:43,In Progress,883
133,Electricity,synthesize intuitive e-markets,2024-06-26 16:32:29,In Progress,999
134,Pipeline,empower wireless deliverables,2001-01-27 12:47:38,Completed,84
135,Traffic Light,scale web-enabled bandwidth,2022-02-25 10:44:37,Completed,790
136,Traffic Light,innovate clicks-and-mortar channels,2021-07-27 18:55:55,Completed,421
137,Sewer,brand cross-media markets,2017-11-16 22:23:25,Completed,255
138,Powerline,harness enterprise paradigms,2008-09-30 17:46:54,In Progress,189
139,Road Construction,architect front-end vortals,2011-08-09 01:48:08,Not Started,149
140,Pipeline,reinvent user-centric markets,2005-09-17 04:24:08,Not Started,351
141,Traffic Light,strategize open-source schemas,2023-09-27 08:00:00,In Progress,321
142,Pipeline,disintermediate bleeding-edge niches,2015-11-25 10:05:19,Not Started,311
143,Sewer,extend strategic solutions,2011-07-11 02:54:56,Completed,184
144,Electricity,synthesize magnetic infomediaries,1999-08-20 14:24:09,In Progress,353
145,Road Construction,benchmark plug-and-play models,2001-04-27 10:30:47,Completed,586
146,Electricity,incubate wireless metrics,1998-03-05 07:00:48,Not Started,932
147,Electricity,evolve bleeding-edge e-tailers,2001-08-19 22:02:30,In Progress,973
148,Traffic Light,reinvent 24/7 niches,2022-07-04 01:02:37,In Progress,431
149,Pipeline,visualize out-of-the-box platforms,2016-10-23 13:03:31,In Progress,509
150,Powerline,orchestrate cross-media systems,2002-02-05 15:06:06,In Progress,139
151,Electricity,streamline back-end mindshare,2021-08-28 00:54:51,Not Started,21
152,Road Construction,synergize proactive experiences,2023-01-16 07:36:03,In Progress,143
153,Electricity,streamline customized deliverables,2019-05-23 02:48:53,Completed,63
154,Sewer,orchestrate sticky infrastructures,2010-08-16 01:06:06,In Progress,7
155,Pipeline,seize scalable relationships,2018-01-30 19:09:32,In Progress,664
156,Powerline,morph transparent eyeballs,2022-03-31 15:19:58,Not Started,151
157,Electricity,repurpose next-generation solutions,2015-09-19 17:48:50,Completed,673
158,Pipeline,deploy visionary vortals,2012-04-01 16:16:28,Not Started,635
159,Sewer,brand synergistic e-business,2004-02-20 05:49:55,In Progress,297
160,Powerline,incentivize impactful communities,2005-10-28 16:06:45,In Progress,905
161,Traffic Light,architect sexy communities,2002-02-27 11:40:17,Completed,304
162,Powerline,synergize dynamic e-tailers,2022-09-23 17:07:26,Not Started,244
163,Traffic Light,engineer user-centric solutions,2005-09-26 17:55:08,Not Started,614
164,Powerline,transform frictionless interfaces,2011-03-04 11:24:12,Completed,6
165,Traffic Light,utilize collaborative ROI,2005-05-16 21:29:37,Not Started,739
166,Road Construction,visualize collaborative action-items,2000-12-19 01:53:20,In Progress,411
167,Sewer,orchestrate plug-and-play metrics,2022-03-08 06:29:13,Completed,607
168,Road Construction,engineer ubiquitous infrastructures,2019-12-24 20:08:17,In Progress,181
169,Pipeline,transform extensible applications,2008-11-30 06:06:53,Not Started,759
170,Road Construction,synthesize 24/365 experiences,2000-08-03 11:02:19,In Progress,681
171,Sewer,leverage magnetic partnerships,2007-10-28 11:49:29,Not Started,885
172,Road Construction,scale compelling solutions,2017-07-04 13:57:22,In Progress,360
173,Pipeline,envisioneer proactive schemas,2021-11-09 14:36:43,Completed,231
174,Traffic Light,utilize interactive niches,2022-09-28 15:49:31,Not Started,215
175,Road Construction,reinvent holistic platforms,2009-11-08 00:31:51,In Progress,411
176,Road Construction,deliver front-end users,2006-06-21 05:03:03,Completed,805
177,Road Construction,incentivize viral platforms,2022-01-15 17:49:03,Not Started,852
178,Pipeline,visualize real-time interfaces,2008-09-23 07:33:56,Completed,912
179,Powerline,unleash holistic platforms,2008-07-16 07:29:51,Not Started,487
180,Electricity,visualize dot-com functionalities,2017-12-14 20:40:44,In Progress,657
181,Electricity,productize turn-key portals,2023-12-02 03:38:21,Not Started,26
182,Traffic Light,generate collaborative vortals,2018-05-31 09:55:40,Not Started,886
183,Road Construction,envisioneer real-time communities,1998-02-24 16:31:24,Completed,28
184,Sewer,benchmark plug-and-play e-services,2007-12-24 08:31:57,Not Started,32
185,Pipeline,transition mission-critical users,2012-06-14 01:03:09,In Progress,305
186,Pipeline,transform seamless infrastructures,2011-07-27 17:53:20,Completed,267
187,Electricity,synergize next-generation platforms,2017-06-28 11:56:13,Completed,215
188,Electricity,deliver dot-com convergence,2015-01-24 23:12:02,Completed,122
189,Electricity,integrate frictionless bandwidth,2024-04-15 07:16:34,In Progress,583
190,Pipeline,revolutionize next-generation web-readiness,2021-01-30 20:13:39,Completed,371
191,Electricity,synthesize bricks-and-clicks initiatives,2010-12-06 22:56:37,Completed,163
192,Pipeline,strategize back-end deliverables,2013-03-24 11:16:54,In Progress,220
193,Electricity,benchmark back-end relationships,2023-04-10 18:06:43,In Progress,734
194,Powerline,engage real-time methodologies,2018-08-12 17:42:12,In Progress,770
195,Road Construction,reintermediate synergistic platforms,2004-01-12 06:36:06,Not Started,717
196,Electricity,deliver viral convergence,2022-02-09 19:19:34,Completed,366
197,Road Construction,architect killer paradigms,2006-01-02 22:54:42,Not Started,533
198,Road Construction,repurpose viral markets,2013-02-28 13:29:34,Not Started,640
199,Road Construction,harness impactful methodologies,2020-02-16 18:41:38,In Progress,545
200,Pipeline,utilize e-business vortals,2020-01-13 01:27:26,Not Started,586
201,Pipeline,revolutionize visionary technologies,2021-08-22 22:24:09,Not Started,92
202,Sewer,deploy efficient networks,2003-01-03 01:53:26,Not Started,252
203,Powerline,engineer dynamic models,1997-08-06 09:27:31,Not Started,452
204,Sewer,expedite enterprise e-tailers,1999-08-29 23:08:45,In Progress,813
205,Sewer,benchmark killer interfaces,2005-09-12 16:56:51,Not Started,549
206,Traffic Light,productize e-business communities,2024-06-11 00:25:30,Completed,627
207,Electricity,whiteboard scalable technologies,2011-07-19 04:51:43,Not Started,987
208,Electricity,empower world-class eyeballs,2002-02-08 05:13:41,Not Started,856
209,Powerline,drive next-generation portals,2022-03-22 11:33:06,Not Started,809
210,Pipeline,mesh magnetic web services,2023-03-06 18:51:52,Not Started,10
211,Sewer,facilitate B2C e-commerce,2022-02-05 23:17:09,Completed,428
212,Traffic Light,exploit enterprise functionalities,2018-08-26 03:43:38,Not Started,675
213,Road Construction,enhance 24/7 convergence,2007-10-14 16:20:49,Completed,881
214,Electricity,utilize sexy schemas,2009-03-26 12:32:34,Completed,418
215,Traffic Light,generate revolutionary vortals,2022-07-21 23:41:58,Not Started,254
216,Powerline,empower best-of-breed content,2010-08-20 10:19:48,Not Started,281
217,Road Construction,embrace efficient infomediaries,2000-05-09 15:36:53,Completed,866
218,Traffic Light,innovate distributed channels,2014-02-02 04:51:57,Not Started,82
219,Electricity,drive strategic e-commerce,2002-05-13 17:19:24,Completed,27
220,Traffic Light,transition leading-edge schemas,2018-07-26 17:03:11,Completed,122
221,Pipeline,optimize best-of-breed e-tailers,2004-02-29 10:23:19,Not Started,589
222,Traffic Light,repurpose leading-edge functionalities,2016-03-29 04:16:46,In Progress,307
223,Road Construction,disintermediate open-source eyeballs,2002-11-05 16:41:19,Not Started,891
224,Electricity,strategize bleeding-edge synergies,2005-03-10 03:50:30,Completed,360
225,Traffic Light,scale extensible supply-chains,2022-07-03 19:22:24,Not Started,578
226,Powerline,maximize best-of-breed bandwidth,2021-11-27 18:41:52,Completed,746
227,Powerline,redefine magnetic technologies,2020-12-04 16:56:18,Not Started,783
228,Sewer,iterate B2C e-services,2015-07-07 05:40:26,In Progress,794
229,Electricity,orchestrate proactive metrics,2012-02-19 00:30:17,Not Started,641
230,Traffic Light,deliver viral infrastructures,2020-03-02 17:17:59,Not Started,328
231,Road Construction,expedite turn-key applications,2023-05-08 08:45:13,Completed,167
232,Electricity,redefine synergistic deliverables,2010-05-02 14:54:24,In Progress,222
233,Powerline,empower value-added systems,2019-02-09 04:26:08,Not Started,936
234,Electricity,generate wireless schemas,2020-07-29 20:17:45,In Progress,306
235,Powerline,cultivate turn-key functionalities,2000-10-14 00:19:01,In Progress,568
236,Traffic Light,visualize cutting-edge users,2003-09-03 11:43:47,In Progress,350
237,Powerline,recontextualize user-centric partnerships,2020-10-03 18:19:05,Not Started,180
238,Electricity,enhance visionary deliverables,2010-06-27 12:27:31,In Progress,687
239,Road Construction,reintermediate innovative web-readiness,2006-04-28 16:13:10,In Progress,493
240,Road Construction,seize real-time interfaces,2010-01-27 03:30:03,Completed,212
241,Sewer,evolve granular experiences,2018-09-09 11:00:10,Not Started,65
242,Powerline,reintermediate B2C schemas,2013-10-15 12:42:11,Completed,250
243,Road Construction,enhance holistic e-markets,2020-09-17 13:13:02,Completed,293
244,Pipeline,scale back-end e-services,2011-06-05 07:27:23,Completed,395
245,Sewer,target ubiquitous eyeballs,1998-11-08 16:26:48,Not Started,456
246,Powerline,incubate cross-platform experiences,2010-01-15 19:20:22,In Progress,648
247,Traffic Light,deliver revolutionary platforms,2006-11-07 21:04:07,In Progress,268
248,Powerline,visualize granular methodologies,2024-06-27 04:00:54,Completed,240
249,Road Construction,leverage compelling communities,2020-07-04 20:26:55,Completed,243
250,Electricity,aggregate rich methodologies,2020-09-29 20:41:58,In Progress,809
251,Powerline,implement killer synergies,2013-01-26 04:55:50,In Progress,958
252,Electricity,innovate transparent action-items,2001-01-09 19:00:15,Not Started,479
253,Road Construction,recontextualize interactive models,2016-02-06 10:32:44,Not Started,192
254,Sewer,transition extensible e-commerce,2006-08-04 11:52:47,Not Started,360
255,Powerline,brand value-added e-markets,1999-09-30 13:23:22,Not Started,730
256,Traffic Light,cultivate web-enabled vortals,2015-02-19 16:28:20,Completed,861
257,Pipeline,expedite front-end mindshare,2014-12-18 18:04:54,In Progress,224
258,Road Construction,integrate turn-key niches,2013-01-07 21:05:11,In Progress,848
259,Road Construction,target collaborative bandwidth,2018-10-17 14:15:09,Completed,959
260,Road Construction,engage bricks-and-clicks metrics,2007-07-02 05:21:03,Not Started,364
261,Road Construction,incentivize impactful metrics,1999-09-17 10:10:11,In Progress,8
262,Sewer,brand distributed eyeballs,2014-01-14 18:22:57,In Progress,765
263,Pipeline,revolutionize plug-and-play channels,2001-03-05 21:13:45,In Progress,815
264,Powerline,repurpose bricks-and-clicks channels,2021-04-25 08:55:57,In Progress,407
265,Pipeline,scale value-added e-tailers,2022-03-25 06:36:04,Not Started,359
266,Pipeline,unleash B2C networks,1998-09-13 08:49:54,Not Started,234
267,Pipeline,strategize leading-edge content,2004-04-23 14:30:28,Completed,159
268,Road Construction,recontextualize sexy platforms,2001-09-24 04:15:16,In Progress,813
269,Sewer,recontextualize innovative applications,2002-04-07 23:06:06,Completed,336
270,Road Construction,generate real-time markets,1999-09-01 21:04:34,Not Started,400
271,Traffic Light,embrace user-centric functionalities,2003-03-08 20:36:45,Not Started,106
272,Pipeline,generate front-end convergence,2003-02-13 16:32:43,Not Started,522
273,Road Construction,repurpose granular deliverables,2024-06-15 23:46:36,Not Started,784
274,Pipeline,repurpose frictionless technologies,2001-01-20 18:56:34,In Progress,562
275,Sewer,innovate integrated e-commerce,2015-05-21 00:20:12,Completed,752
276,Sewer,brand ubiquitous initiatives,2014-03-31 12:03:15,Completed,396
277,Sewer,brand out-of-the-box networks,1999-05-28 09:19:26,In Progress,467
278,Traffic Light,exploit magnetic portals,2015-07-07 04:26:39,In Progress,483
279,Pipeline,matrix world-class models,2019-09-28 03:30:33,In Progress,377
280,Electricity,whiteboard cross-platform e-tailers,1998-12-22 18:00:03,Not Started,724
281,Electricity,incubate front-end e-commerce,1998-07-23 21:54:03,Completed,564
282,Traffic Light,productize best-of-breed e-commerce,2000-08-06 03:54:32,Not Started,54
283,Traffic Light,transition bricks-and-clicks e-commerce,2006-07-19 08:47:02,Completed,286
284,Road Construction,extend scalable solutions,2015-02-19 20:32:45,Not Started,97
285,Electricity,productize revolutionary portals,2013-03-20 10:27:14,Not Started,979
286,Powerline,innovate 24/365 networks,2020-03-31 07:49:14,Completed,954
287,Pipeline,mesh world-class niches,2012-09-22 11:57:42,In Progress,768
288,Pipeline,iterate front-end systems,2013-05-21 19:46:34,In Progress,61
289,Road Construction,optimize dot-com channels,2019-05-20 00:51:04,Not Started,177
290,Traffic Light,harness visionary e-services,2013-04-18 04:35:44,Not Started,461
291,Road Construction,recontextualize strategic web-readiness,2014-10-14 10:41:48,In Progress,775
292,Traffic Light,productize out-of-the-box niches,2024-03-09 23:45:05,Not Started,871
293,Sewer,productize compelling web services,2001-06-04 02:05:38,Completed,427
294,Powerline,syndicate scalable web-readiness,2002-11-06 10:41:36,In Progress,277
295,Traffic Light,innovate end-to-end partnerships,2022-10-26 20:18:54,In Progress,643
296,Electricity,empower plug-and-play action-items,2019-07-13 02:40:39,In Progress,582
297,Sewer,cultivate virtual metrics,2018-03-05 10:38:08,In Progress,720
298,Electricity,repurpose extensible channels,2020-02-19 00:51:27,Not Started,799
299,Road Construction,exploit collaborative web-readiness,2014-10-29 11:41:11,In Progress,593
300,Traffic Light,deploy one-to-one communities,2017-11-08 23:18:04,Completed,226
301,Electricity,grow killer mindshare,2008-03-03 00:51:09,In Progress,953
302,Powerline,extend killer convergence,2000-03-31 16:14:32,In Progress,707
303,Pipeline,reintermediate world-class markets,2006-07-01 10:12:21,Completed,257
304,Traffic Light,deliver world-class infrastructures,2000-08-18 04:57:20,Not Started,759
305,Sewer,enhance out-of-the-box web services,2002-04-25 20:03:04,Completed,618
306,Sewer,redefine distributed bandwidth,2008-07-22 08:15:29,In Progress,95
307,Sewer,harness integrated e-markets,2004-10-16 10:25:40,Not Started,392
308,Traffic Light,recontextualize front-end niches,2009-08-27 20:04:41,Not Started,459
309,Pipeline,deliver real-time paradigms,2018-05-01 20:34:42,Not Started,73
310,Pipeline,strategize virtual solutions,2018-11-18 23:02:31,Not Started,727
311,Powerline,revolutionize cutting-edge metrics,2014-11-02 17:53:21,Not Started,466
312,Road Construction,engage mission-critical solutions,2024-04-17 13:31:43,Not Started,619
313,Road Construction,grow front-end action-items,2011-02-27 22:59:45,Completed,473
314,Powerline,facilitate bricks-and-clicks initiatives,2000-01-29 00:03:37,Completed,803
315,Sewer,redefine transparent methodologies,2022-04-28 14:14:26,Completed,571
316,Pipeline,optimize B2C e-services,2006-11-18 09:21:53,Completed,515
317,Road Construction,harness sexy metrics,2022-10-28 16:49:49,In Progress,964
318,Electricity,benchmark real-time action-items,2020-09-30 23:01:45,Not Started,173
319,Pipeline,orchestrate ubiquitous ROI,2015-06-19 06:58:30,In Progress,115
320,Road Construction,grow scalable infrastructures,2007-11-20 19:07:54,In Progress,911
321,Pipeline,implement enterprise convergence,2001-05-11 06:12:32,Not Started,765
322,Road Construction,architect transparent ROI,2008-09-14 08:40:58,In Progress,939
323,Powerline,reintermediate customized supply-chains,2017-06-15 03:35:30,In Progress,724
324,Traffic Light,incubate extensible relationships,2014-07-16 23:24:51,In Progress,172
325,Powerline,utilize plug-and-play partnerships,2007-02-05 22:23:15,Not Started,636
326,Pipeline,e-enable B2B e-tailers,2007-11-03 02:01:25,Not Started,664
327,Sewer,whiteboard ubiquitous e-markets,2018-08-09 21:56:43,Completed,915
328,Powerline,whiteboard B2C experiences,2004-02-15 20:56:29,Completed,735
329,Powerline,brand end-to-end infrastructures,2009-08-14 22:13:04,In Progress,901
330,Electricity,scale 24/7 experiences,2022-02-16 04:41:25,In Progress,499
331,Traffic Light,syndicate B2B communities,2001-07-23 03:37:44,Completed,797
332,Pipeline,facilitate value-added applications,1998-07-28 16:11:43,Not Started,911
333,Sewer,seize holistic vortals,2019-07-20 14:36:44,In Progress,252
334,Traffic Light,enhance world-class infrastructures,2014-03-12 08:32:50,Not Started,101
335,Electricity,iterate dynamic supply-chains,2011-09-01 00:06:37,Completed,761
336,Road Construction,reintermediate viral systems,2023-02-15 13:25:11,In Progress,723
337,Electricity,exploit mission-critical e-markets,2017-01-21 16:37:18,In Progress,485
338,Powerline,expedite cutting-edge paradigms,2012-07-30 20:30:57,In Progress,7
339,Sewer,synergize innovative deliverables,2003-01-29 17:14:48,Completed,208
340,Powerline,enable granular markets,2017-03-18 19:27:51,Completed,753
341,Traffic Light,implement real-time interfaces,2017-06-05 16:58:55,In Progress,159
342,Road Construction,syndicate user-centric architectures,2007-04-30 07:01:05,Completed,723
343,Powerline,empower open-source networks,1998-06-21 16:10:39,In Progress,354
344,Sewer,maximize intuitive paradigms,1999-09-29 20:18:02,Completed,952
345,Road Construction,drive collaborative experiences,2012-12-16 10:05:26,Not Started,244
346,Road Construction,streamline compelling architectures,2003-05-17 08:07:48,Not Started,989
347,Electricity,transform vertical paradigms,2011-09-17 00:51:30,In Progress,613
348,Powerline,incentivize virtual e-services,2013-11-29 14:38:24,In Progress,375
349,Road Construction,incubate out-of-the-box paradigms,2005-04-03 21:35:09,Completed,976
350,Powerline,embrace user-centric networks,2017-06-21 18:44:10,Not Started,370
351,Electricity,reinvent 24/365 convergence,2015-10-13 21:35:03,Not Started,658
352,Pipeline,envisioneer plug-and-play eyeballs,2020-07-03 00:09:33,Not Started,739
353,Electricity,exploit open-source technologies,2022-03-10 03:15:27,Completed,268
354,Pipeline,visualize end-to-end platforms,2020-09-09 04:34:51,Completed,529
355,Road Construction,integrate strategic solutions,2017-03-28 19:35:34,In Progress,343
356,Powerline,monetize clicks-and-mortar convergence,1999-07-10 19:40:18,Not Started,431
357,Pipeline,seize synergistic portals,1998-02-21 22:03:07,In Progress,564
358,Pipeline,redefine clicks-and-mortar synergies,2019-04-20 01:56:16,In Progress,611
359,Electricity,maximize virtual e-tailers,2013-11-18 01:04:51,Not Started,598
360,Powerline,transition ubiquitous infomediaries,2012-06-02 18:01:34,Not Started,468
361,Powerline,mesh value-added content,2001-10-31 03:03:29,Not Started,384
